linea_slug;nome_linea;conteggio;marchi;super_categoria
acanto;Acanto;65;Geberit;Bagno e Sanitari
accessori;Accessori;897;Geberit,Haier,Immergas;Ricambi e Accessori
accessori-acqua-calda-sanitaria;Accessori Acqua Calda Sanitaria;172;Ariston;Acqua Calda Sanitaria
accessori-riscaldamento-e-clima;Accessori Riscaldamento E Clima;257;Ariston;Riscaldamento e Caldaie
acqua;Acqua;615;Ferrari;Tubazioni e Sistemi di Distribuzione
adesivi;Adesivi;7;Fischer;Fissaggi e Utensili
allacciamenti-acqua-gas;Allacciamenti Acqua/Gas;160;Ferrari;Raccorderia e Valvole
allacciamenti-apparecchi;Allacciamenti apparecchi;75;Geberit;Bagno e Sanitari
alta-potenza;Alta Potenza;42;Immergas;Riscaldamento e Caldaie
altro;Altro;71;Immergas,RBM;Generico
ancoranti-chimici;Ancoranti Chimici;80;Fischer;Fissaggi e Utensili
ancoranti-metallici-ad-alte-prestazioni;Ancoranti Metallici Ad Alte Prestazioni;115;Fischer;Fissaggi e Utensili
anticorrosione;Anticorrosione;81;Fimi;Trattamento Acqua
applicazioni-industriale-inox;Applicazioni Industriale Inox;43;GBD;Riscaldamento e Caldaie
apply-air;Apply Air;62;Tecnosystemi;Ventilazione e Trattamento Aria
apply-co;Apply.Co;237;Tecnosystemi;Ventilazione e Trattamento Aria
aquaclean;AquaClean;47;Geberit;Bagno e Sanitari
articoli-fuori-listino-pdf;Articoli fuori listino PDF;90;Effebi;Generico
attraversamento-tetto;Attraversamento Tetto;18;GBD;Riscaldamento e Caldaie
attrezzatura;Attrezzatura;141;Viega;Fissaggi e Utensili
attrezzatura-e-utensili;Attrezzatura E Utensili;33;RBM;Fissaggi e Utensili
attrezzaura;Attrezzaura;953;Ferrari;Fissaggi e Utensili
attrezzi;Attrezzi;142;Geberit;Fissaggi e Utensili
bambini;Bambini;28;Geberit;Bagno e Sanitari
bidet;Bidet;1;Geberit;Bagno e Sanitari
bilanciamento-idraulico;Bilanciamento Idraulico;28;RBM;Riscaldamento e Caldaie
bilanciamento-idronico;Bilanciamento Idronico;32;Giacomini;Riscaldamento e Caldaie
bollitori;Bollitori;13;Immergas;Acqua Calda Sanitaria
bollitori-e-fan-coil;Bollitori E Fan Coil;70;Ariston;Acqua Calda Sanitaria
caldaia;Caldaia;547;Ferrari;Riscaldamento e Caldaie
caldaie;Caldaie;79;Ariston,Immergas;Riscaldamento e Caldaie
cassetta-di-risciacquo-da-incasso;Cassetta di risciacquo da incasso;44;Geberit;Bagno e Sanitari
cassette-di-risciacquo-esterne;Cassette di risciacquo esterne;10;Geberit;Bagno e Sanitari
ceramiche;Ceramiche;75;Grohe;Bagno e Sanitari
citterio;Citterio;1;Geberit;Bagno e Sanitari
climatizzatori;Climatizzatori;38;Immergas;Condizionamento e Climatizzazione
climatizzazione;Climatizzazione;56;Ariston;Condizionamento e Climatizzazione
coassiale-per-caminetti-a-gas;Coassiale per caminetti a gas;14;GBD;Riscaldamento e Caldaie
coassiali-plastica;Coassiali Plastica;34;GBD;Riscaldamento e Caldaie
colibri;Colibrì;14;Geberit;Bagno e Sanitari
collettori-di-distribuzione;Collettori Di Distribuzione;450;Giacomini;Riscaldamento e Caldaie
collettori-sanitari-componibili;Collettori Sanitari Componibili;33;Effebi;Riscaldamento e Caldaie
comandi-per-orinatoi;Comandi per orinatoi;11;Geberit;Bagno e Sanitari
combifix;Combifix;10;Geberit;Bagno e Sanitari
combustibili;Combustibili;741;Ferrari;Riscaldamento e Caldaie
comfort-climatico-accessori-sistemi-rad;Comfort Climatico-Accessori Sistemi Rad.;72;RBM;Riscaldamento e Caldaie
comfort-climatico-cassette-contenimento;Comfort Climatico-Cassette Contenimento;28;RBM;Riscaldamento e Caldaie
comfort-climatico-collettori;Comfort Climatico-Collettori;170;RBM;Riscaldamento e Caldaie
comfort-climatico-gruppi-miscelazione;Comfort Climatico-Gruppi Miscelazione;83;RBM;Riscaldamento e Caldaie
comfort-climatico-panello-isolante-secco;Comfort Climatico-Panello Isolante Secco;8;RBM;Riscaldamento e Caldaie
